Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
63;QUC 3617-2020;478;46.8391;2.4147;42.0595;53.8091;100;-3.40E+38;3.40E+38
64;QUC 3653-2020;479;45.6054;1.9398;39.2703;49.069;100;-3.40E+38;3.40E+38
65;QUC 3532-2018;480;45.4057;2.0185;40.2726;50.6839;100;-3.40E+38;3.40E+38
66;QUC 3593-2017;476;47.1523;2.9143;41.7372;53.9241;100;-3.40E+38;3.40E+38
67;QUC 3555-2017  ;448;50.0229;2.3056;44.7055;54.2509;100;-3.40E+38;3.40E+38
68;QUC 4425-2021;480;49.1717;1.8037;44.7571;54.2604;100;-3.40E+38;3.40E+38
69;QUC 4542-2021;471;47.2046;2.272;39.7309;52.9619;100;-3.40E+38;3.40E+38
70;QUC 3221-2020;429;49.2558;2.3671;44.3765;54.0613;100;-3.40E+38;3.40E+38
71;QUC 3413-2020;447;49.4673;1.9215;45.3716;54.2297;100;-3.40E+38;3.40E+38
72;QUC 3210-2020;369;51.6196;1.6085;46.9597;54.2578;100;-3.40E+38;3.40E+38
73;QUC 3556-2018;458;48.3571;2.0319;43.6666;54.256;100;-3.40E+38;3.40E+38
74;QUC 3677-2020;464;47.2899;1.8449;43.2161;53.9777;100;-3.40E+38;3.40E+38
75;QUC 3517-2017;506;45.552;2.5329;40.8735;53.7825;100;-3.40E+38;3.40E+38
76;QUC 3592-2020;468;48.4646;2.5151;41.8318;54.1254;100;-3.40E+38;3.40E+38
77;QUC 3425-2020;403;50.2387;1.7629;46.2634;54.2441;100;-3.40E+38;3.40E+38
78;LLEUQUE-INIA;414;50.2808;2.2716;43.4042;54.2327;100;-3.40E+38;3.40E+38
79;QUC 3522-2022;334;50.3317;2.387;44.4477;54.2531;100;-3.40E+38;3.40E+38
80;QUC 4592-2021;461;48.9463;2.5041;42.7134;54.1091;100;-3.40E+38;3.40E+38
81;QUC 3603-2020;452;46.5158;3.4126;40.6643;54.2035;100;-3.40E+38;3.40E+38
82;QUC 3616-2020;471;47.0671;2.1862;41.1395;53.4424;100;-3.40E+38;3.40E+38
83;QUC 3606-2020;473;46.5306;2.7555;40.2048;54.0646;100;-3.40E+38;3.40E+38
84;QUC 4552-2021;428;49.3977;3.243;40.9001;54.2679;100;-3.40E+38;3.40E+38
85;QUC 3555-2017  ;480;45.6609;2.1994;39.701;50.5609;100;-3.40E+38;3.40E+38
86;QUC 3582-2020;480;44.025;1.6947;40.6787;50.0918;100;-3.40E+38;3.40E+38
87;QUC 3678-2020;480;45.3337;2.1886;39.8266;51.7987;100;-3.40E+38;3.40E+38
88;QUC 3625-2020;476;46.3913;2.8748;40.9132;53.8585;100;-3.40E+38;3.40E+38
89;QUC 3401-2020;472;45.25;2.7308;39.3154;53.3445;100;-3.40E+38;3.40E+38
90;QUC 3543-2020;480;44.3899;1.9129;39.5791;49.9744;100;-3.40E+38;3.40E+38
91;QUC 3632-2021;480;47.5394;1.7932;43.0062;51.9693;100;-3.40E+38;3.40E+38
92;QUC 4600-2021;478;44.5321;2.4159;39.2737;51.0151;100;-3.40E+38;3.40E+38
93;QUC 3584-2018;480;45.6079;2.1412;41.0928;50.607;100;-3.40E+38;3.40E+38
94;QUC 4605-2021;488;44.7073;2.191;40.3598;51.056;100;-3.40E+38;3.40E+38
95;QUC 3521-2020;496;46.1675;2.1899;39.4117;51.8963;100;-3.40E+38;3.40E+38
96;QUC 3525-2022;494;43.1988;2.3096;39.4486;54.195;100;-3.40E+38;3.40E+38
97;QUC 3326-2019;496;43.4494;1.5223;40.2422;48.4918;100;-3.40E+38;3.40E+38
98;QUC 3317-2019;496;45.3852;2.2193;40.8073;52.1393;100;-3.40E+38;3.40E+38
