Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
418;QUC 3531-2018  ;R-017_Plot-418;0.4680146;49.288548;0.3729586;56.40926;-4.893046;39.601578;11.063053;42.96338;0.001154119;0;100
419;QUC 3531-2022;R-017_Plot-419;0.4664955;32.563145;0.28401178;52.965256;4.7444496;30.065693;21.990591;32.052258;3.55E-04;0;100
420;QUC 3591-2020;R-017_Plot-420;0.5600474;34.78778;0.29473406;63.212116;4.233989;36.127014;24.94421;39.958076;1.76E-04;0;100
421;QUC 4550-2021;R-017_Plot-421;0.44244197;31.90124;0.25821888;50.023964;4.0707088;26.750938;19.2166;28.584442;0.014270613;0;100
422;QUC 4600-2021;R-017_Plot-422;0.5120726;31.205708;0.24966371;57.185272;4.8076053;29.201477;22.238129;32.194466;2.64E-04;0;100
423;QUC 3741-2020;R-017_Plot-423;0.4921651;29.796494;0.25778466;55.05146;5.917849;28.798836;23.559889;31.135765;3.52E-04;0;100
424;QUC 3537-2022;R-017_Plot-424;0.57151467;34.573036;0.27696043;64.098;3.871477;34.975952;23.986528;39.20815;1.76E-04;0;100
425;QUC 4559-2021;R-017_Plot-425;0.4664674;31.167498;0.28061873;52.764366;5.596414;29.626627;23.1132;31.435816;3.83E-04;0;100
426;QUC 3642-2020;R-018_Plot-426;0.45447755;30.85476;0.25894076;51.20826;4.857637;27.24309;20.773905;29.12118;5.74E-04;0;100
427;QUC 3424-2020;R-018_Plot-427;0.48754594;31.682714;0.26511723;54.865402;4.855892;29.452051;22.149265;31.918802;1.76E-04;0;100
428;QUC 3420-2020;R-018_Plot-428;0.57241285;33.381386;0.26572502;63.87712;4.3638945;33.760143;24.239962;37.93206;8.81E-05;0;100
429;QUC 4481-2021;R-018_Plot-429;0.47188485;35.15278;0.28411806;53.8258;3.043288;30.691576;19.709078;33.17248;2.64E-04;0;100
430;QUC 4549-2021;R-018_Plot-430;0.46545413;36.374516;0.29212362;53.376762;2.4260325;31.158342;18.884733;33.601376;0.003964059;0;100
431;QUC 3319-2020;R-018_Plot-431;0.50620437;35.752327;0.2851516;57.551044;2.89593;32.61979;20.704159;35.79386;0.00440451;0;100
432;QUC 3742-2020;R-018_Plot-432;0.50666517;32.090744;0.2838639;57.155617;5.4552836;32.039024;24.461693;34.625458;3.55E-04;0;100
433;QUC 3611-2020;R-018_Plot-433;0.45228365;31.11121;0.28744698;51.324062;5.7297835;29.434711;23.04717;30.896463;1.78E-04;0;100
434;QUC 3454-2017  ;R-018_Plot-434;0.4303255;49.40528;0.3094135;51.113213;-4.7421565;32.114754;8.172051;35.322514;0.003347428;0;100
435;QUC 3529-2017;R-018_Plot-435;0.39827493;53.850822;0.37653595;49.002922;-6.855977;35.61251;6.0225267;37.877453;0.037553267;0;100
436;QUC 3528-2022;R-018_Plot-436;0.45895025;48.004242;0.31360388;54.227314;-4.207503;33.97664;9.933311;37.629147;0.001864347;0;100
437;QUC 3613-2020;R-018_Plot-437;0.40261385;42.279163;0.31851298;47.447857;-0.8185074;30.347082;12.945699;32.03009;0.003817472;0;100
438;QUC 3523-2022;R-018_Plot-438;0.48296154;47.06752;0.3286001;57.027813;-3.7402558;36.557514;11.85243;40.46334;0.005726557;0;100
