Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
63;QUC 3617-2020;740;23.4748;0.2781;22.9867;24.4566;100;-3.40E+38;3.40E+38
64;QUC 3653-2020;740;23.6407;0.3516;23.0348;25.1991;100;-3.40E+38;3.40E+38
65;QUC 3532-2018;751;22.8333;0.1315;22.55;23.3635;100;-3.40E+38;3.40E+38
66;QUC 3593-2017;750;23.0339;0.1393;22.7971;23.5436;100;-3.40E+38;3.40E+38
67;QUC 3555-2017  ;740;22.9371;0.2027;22.6472;24.0349;100;-3.40E+38;3.40E+38
68;QUC 4425-2021;740;23.5598;0.5476;22.4544;25.7855;100;-3.40E+38;3.40E+38
69;QUC 4542-2021;751;23.0139;0.2675;22.6207;24.4438;100;-3.40E+38;3.40E+38
70;QUC 3221-2020;760;24.0672;0.4379;23.069;25.0501;100;-3.40E+38;3.40E+38
71;QUC 3413-2020;760;24.0008;0.2818;23.4911;24.9797;100;-3.40E+38;3.40E+38
72;QUC 3210-2020;750;24.4953;0.4032;23.2169;25.3341;100;-3.40E+38;3.40E+38
73;QUC 3556-2018;751;23.199;0.241;22.7117;24.0909;100;-3.40E+38;3.40E+38
74;QUC 3677-2020;760;24.0812;0.2935;23.5732;25.3696;100;-3.40E+38;3.40E+38
75;QUC 3517-2017;741;23.4788;0.5206;22.8642;26.2646;100;-3.40E+38;3.40E+38
76;QUC 3592-2020;741;23.8918;0.2716;23.4933;25.2819;100;-3.40E+38;3.40E+38
77;QUC 3425-2020;760;24.6116;0.2488;24.0803;25.4553;100;-3.40E+38;3.40E+38
78;LLEUQUE-INIA;585;22.7709;0.2927;22.4535;24.2221;100;-3.40E+38;3.40E+38
79;QUC 3522-2022;611;22.8179;0.3019;22.4529;24.1784;100;-3.40E+38;3.40E+38
80;QUC 4592-2021;760;23.5147;0.2861;22.966;24.4989;100;-3.40E+38;3.40E+38
81;QUC 3603-2020;760;23.0938;0.2587;22.6686;23.9975;100;-3.40E+38;3.40E+38
82;QUC 3616-2020;751;23.4427;0.3081;22.5958;24.1996;100;-3.40E+38;3.40E+38
83;QUC 3606-2020;740;24.026;0.2475;23.5402;24.6695;100;-3.40E+38;3.40E+38
84;QUC 4552-2021;740;24.0232;0.2395;23.5446;24.7776;100;-3.40E+38;3.40E+38
85;QUC 3555-2017  ;750;23.0054;0.1841;22.6545;23.6513;100;-3.40E+38;3.40E+38
86;QUC 3582-2020;751;23.4589;0.1871;23.1718;24.2505;100;-3.40E+38;3.40E+38
87;QUC 3678-2020;740;23.6655;0.3284;23.2078;25.5603;100;-3.40E+38;3.40E+38
88;QUC 3625-2020;740;23.9336;0.2063;23.546;25.0247;100;-3.40E+38;3.40E+38
89;QUC 3401-2020;740;23.3346;0.3159;22.8526;25.1368;100;-3.40E+38;3.40E+38
90;QUC 3543-2020;730;23.1346;0.1965;22.6943;23.8494;100;-3.40E+38;3.40E+38
91;QUC 3632-2021;731;24.2418;0.3302;23.4943;24.9621;100;-3.40E+38;3.40E+38
92;QUC 4600-2021;740;23.7213;0.1252;23.4595;24.3145;100;-3.40E+38;3.40E+38
