Genotipo,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Longitude,Estado Fenológico,Chl,Flav,Anth,NBI,temp,Valor,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max
LLEUQUE-INIA,Testigo,19.74609,992.61798,35.03,0.0064,0.00099,777.09,689.0,658.67,0.113,156.58,144.7085,2231.0,36.71,1.68,1.68,0.14,117.01,1710.729,37.169,0.00091,0.152,0.022,0.825,0.952,0.399,0.051,0.55,1.406,37.991,0.0069,0.1316847,0.155,-716334748.0,3.0,7360.0,1115.0,0.443,6.6,30.22,0.56,0.3583448,41.463127,0.28150934,41.91018,-0.83955735,25.106464,10.378773,26.21119,0.004787384,0.0,100.0,525.0,39.534,37.124,45.132
LLEUQUE-INIA,Testigo,19.42383,992.98102,35.38,0.0064,0.00113,1894.35,1696.0,1719.0,0.105,156.699,157.2711,14967.0,37.11,1.73,1.73,0.06,94.73,2263.562,40.727,0.00137,0.093,0.022,0.886,1.824,0.048,-0.004,0.956,0.872,51.75,0.0064,0.2154614,0.177,-7228215333333330.0,3.0,33257.0,1946.0,0.311,17.09,30.17,0.4,0.40754905,32.34229,0.27309996,46.4664,3.975151,26.180387,18.388163,27.285667,0.000845,0.0,100.0,331.0,41.9,36.5,45.153
LLEUQUE-INIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8384.0,2063.0,0.638,4.06,35.33,0.15,0.5524966,28.75136,0.20883888,60.569023,4.990544,26.90224,21.849758,30.57718,0.000322,0.0,100.0,414.0,50.2808,43.4042,54.2327
LLEUQUE-INIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,21192.0,,,,29.44,0.26,0.5428241,30.624475,0.21410435,59.84449,3.9845915,27.253511,20.356785,31.015026,0.000308,0.0,100.0,491.0,45.659,39.368,53.5977
LLEUQUE-INIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9750.0,1114.0,0.239,8.75,29.33,0.15,0.5524966,28.75136,0.20883888,60.569023,4.990544,26.90224,21.849758,30.57718,0.000322,0.0,100.0,414.0,50.2808,43.4042,54.2327
LLEUQUE-INIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.26,0.5428241,30.624475,0.21410435,59.84449,3.9845915,27.253511,20.356785,31.015026,0.000308,0.0,100.0,491.0,45.659,39.368,53.5977
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,34995.0,1527.0,0.213,22.92,35.29,0.51,0.37862113,58.87291,0.27958685,45.516098,-7.78626,27.68638,1.8174274,30.687492,0.516888151,0.000923,99.82146045,594.0,34.6341,33.2282,38.2108
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.14,1759.0,0.245,18.27,35.26,0.64,0.44518676,46.52421,0.28665626,52.12376,-3.462072,30.813501,9.693323,34.22616,0.029978198,0.0,100.0,594.0,36.6301,34.4898,42.0772
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37312.0,1452.0,0.256,25.7,33.09,0.64,0.3894837,62.087704,0.2918955,47.22223,-9.303485,29.543467,0.42832083,33.007736,0.692950581,0.0,100.0,594.0,34.4735,33.0256,38.9264
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35067.0,1384.0,0.247,25.34,33.62,0.51,0.37862113,58.87291,0.27958685,45.516098,-7.78626,27.68638,1.8174274,30.687492,0.516888151,0.000923,99.82146045,594.0,34.6341,33.2282,38.2108
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35861.0,1587.0,0.286,22.6,33.64,0.64,0.44518676,46.52421,0.28665626,52.12376,-3.462072,30.813501,9.693323,34.22616,0.029978198,0.0,100.0,594.0,36.6301,34.4898,42.0772
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37655.0,1443.0,0.259,26.09,30.46,0.64,0.3894837,62.087704,0.2918955,47.22223,-9.303485,29.543467,0.42832083,33.007736,0.692950581,0.0,100.0,594.0,34.4735,33.0256,38.9264
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,36444.0,1626.0,0.257,22.42,33.11,0.67,0.37327287,56.101406,0.2838211,44.777172,-6.8280544,27.459654,3.028367,30.110641,0.418515889,0.000355,99.91516437,585.0,35.5609,33.4411,38.585
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41764.0,1261.0,0.273,33.12,30.44,0.67,0.37327287,56.101406,0.2838211,44.777172,-6.8280544,27.459654,3.028367,30.110641,0.418515889,0.000355,99.91516437,585.0,35.5609,33.4411,38.585
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,36752.0,1497.0,0.31,24.54,26.98,0.57,0.5167276,94.33978,0.121968865,59.54798,-15.750779,22.610603,-10.962463,30.182894,0.987073791,0.904834606,8.331614766,594.0,29.6997,27.6765,33.136
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,42211.0,1402.0,0.305,30.1,26.96,0.63,0.56276375,104.23045,0.09167737,63.924377,-16.885256,21.219524,-13.219807,29.470308,0.990051282,0.980820513,0.932352636,594.0,30.5721,28.0336,34.0133
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4328.0,0.959,0.348,4.51,30.28,0.5,0.61549497,105.17,0.074156344,68.50847,-15.829065,20.159752,-12.277529,28.584332,0.990075188,0.981754386,0.840421223,585.0,28.4451,26.5472,31.8416
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,24440.0,1715.0,0.283,14.25,30.28,0.56,0.5734236,81.92757,0.09990603,63.81735,-11.360989,20.551992,-5.6243777,27.655272,0.957964377,0.568651399,40.63960901,594.0,30.5817,28.5867,34.0772
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,31656.0,1677.0,0.287,18.87,31.06,0.57,0.5167276,94.33978,0.121968865,59.54798,-15.750779,22.610603,-10.962463,30.182894,0.987073791,0.904834606,8.331614766,594.0,29.6997,27.6765,33.136
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8986.0,1253.0,0.366,7.17,31.04,0.63,0.56276375,104.23045,0.09167737,63.924377,-16.885256,21.219524,-13.219807,29.470308,0.990051282,0.980820513,0.932352636,594.0,30.5721,28.0336,34.0133
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,36215.0,1494.0,0.3,24.24,26.18,0.5,0.61549497,105.17,0.074156344,68.50847,-15.829065,20.159752,-12.277529,28.584332,0.990075188,0.981754386,0.840421223,585.0,28.4451,26.5472,31.8416
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34793.0,1695.0,0.312,20.53,26.22,0.56,0.5734236,81.92757,0.09990603,63.81735,-11.360989,20.551992,-5.6243777,27.655272,0.957964377,0.568651399,40.63960901,594.0,30.5817,28.5867,34.0772
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,27626.0,1509.0,0.28,18.3,30.82,0.49,0.41484094,46.794044,0.32968765,49.43594,-3.2337077,32.442837,10.340319,34.799942,0.001408054,0.0,100.0,542.0,39.973,37.494,45.074
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,29991.0,1525.0,0.293,19.67,30.96,0.49,0.3901032,46.9689,0.3006391,46.225388,-3.3107247,28.803452,8.616736,30.930271,0.012672487,0.0,100.0,578.0,39.145,36.766,43.322
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,25159.0,1445.0,0.283,17.41,38.49,0.4,0.39691296,45.624283,0.30420458,46.926888,-2.68828,29.31883,9.774094,31.424093,0.002112081,0.0,100.0,535.0,38.281,36.177,41.818
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8780.0,2130.0,0.715,4.12,38.32,0.52,0.4479092,40.44089,0.2947355,51.94194,-0.074151315,30.924898,14.800316,33.5691,0.000422,0.0,100.0,536.0,41.579,38.87,45.11
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,29829.0,1209.0,0.329,24.66,35.03,0.49,0.41484094,46.794044,0.32968765,49.43594,-3.2337077,32.442837,10.340319,34.799942,0.001408054,0.0,100.0,542.0,39.973,37.494,45.074
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3351.0,1404.0,0.306,2.39,35.07,0.49,0.3901032,46.9689,0.3006391,46.225388,-3.3107247,28.803452,8.616736,30.930271,0.012672487,0.0,100.0,578.0,39.145,36.766,43.322
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,32851.0,1765.0,0.333,18.61,29.13,0.52,0.4479092,40.44089,0.2947355,51.94194,-0.074151315,30.924898,14.800316,33.5691,0.000422,0.0,100.0,536.0,41.579,38.87,45.11
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,29778.0,1603.0,0.3,18.58,29.15,0.4,0.39691296,45.624283,0.30420458,46.926888,-2.68828,29.31883,9.774094,31.424093,0.002112081,0.0,100.0,535.0,38.281,36.177,41.818
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,15296.0,,0.232,,32.2,0.18,0.55876034,31.02651,0.22120738,61.59783,4.142611,28.602448,21.383606,32.61694,0.0,0.0,,436.0,43.8772,39.3126,53.5892
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12748.0,,0.334,,30.08,0.16,0.5498831,29.769413,0.209553,60.419777,4.3602214,26.999659,20.886162,30.783861,0.0,0.0,,480.0,45.8797,41.6167,53.3725
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10405.0,,,,32.08,0.16,0.5548309,31.197714,0.22722065,61.29339,4.264075,29.020077,21.734133,32.942066,0.000157,0.0,100.0,480.0,43.9636,40.4185,50.3316
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10675.0,1035.0,,10.31,33.71,0.12,0.55324686,29.782696,0.22120368,60.90339,4.90325,28.21304,22.344444,31.946253,0.000155,0.0,100.0,460.0,42.0201,39.2324,46.2303
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.16,0.5498831,29.769413,0.209553,60.419777,4.3602214,26.999659,20.886162,30.783861,0.0,0.0,,480.0,45.8797,41.6167,53.3725
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11378.0,,,,35.99,0.16,0.5548309,31.197714,0.22722065,61.29339,4.264075,29.020077,21.734133,32.942066,0.000157,0.0,100.0,480.0,43.9636,40.4185,50.3316
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14135.0,,0.175,,29.92,0.12,0.55324686,29.782696,0.22120368,60.90339,4.90325,28.21304,22.344444,31.946253,0.000155,0.0,100.0,460.0,42.0201,39.2324,46.2303
QUC 3311-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.18,0.55876034,31.02651,0.22120738,61.59783,4.142611,28.602448,21.383606,32.61694,0.0,0.0,,436.0,43.8772,39.3126,53.5892
QUC 3328-2019,Stay green,19.23828,988.23859,34.73,0.0078,0.00078,2160.21,1806.0,2005.0,0.164,128.08,141.4574,32573.0,34.09,-0.64,-0.64,0.1,83.62,2580.917,23.882,0.00151,0.072,0.037,0.891,2176.0,0.077,-0.023,0.946,0.395,47.218,0.0071,0.2136007,0.1,-72282615.0,1.0,38686.0,1679.0,0.272,23.04,29.45,0.4,0.319527,41.41981,0.301844,37.684223,-0.5713542,24.1551,9.928362,24.232578,0.00470442,0.0,100.0,585.0,38.7318,36.1551,42.8614
QUC 3328-2019,Stay green,20.30469,987.96704,35.1,-0.0008,0.00019,1368.92,1056.0,1202.0,0.229,-129.9101,190.4022,12268.0,34.47,-0.63,-0.63,0.16,124.76,2272.564,15.469,0.00109,0.122,0.053,0.825,0.762,0.63,-0.767,1137.0,0.469,49.128,0.0053,0.2075384,-0.247,,1.0,29092.0,1863.0,0.307,15.62,29.45,0.46,0.3820524,37.081665,0.2940607,44.33988,1.6252275,26.842035,14.876899,27.798063,0.022046512,0.000279,98.73417722,566.0,39.1668,33.0932,42.9059
QUC 3328-2019,Stay green,31.82715,988.71844,31.72,0.008,0.00136,3290.38,2185.0,2907.33,0.336,125.264,164.6782,52.5,32.11,0.39,0.39,0.17,86.4,1655.206,8.646,0.00138,0.116,0.092,0.792,4886.0,0.679,-0.032,0.353,0.26,60.009,0.0061,0.2272559,0.17,-7228195000000000.0,1.0,29589.0,2034.0,0.244,14.55,33.93,0.4,0.319527,41.41981,0.301844,37.684223,-0.5713542,24.1551,9.928362,24.232578,0.00470442,0.0,100.0,585.0,38.7318,36.1551,42.8614
