Genotipo,Hoja,cara,Chl,Flav,Anth,NBI,temp,Estado Fenológico,Valorgs,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Latitude,Longitude
QUC 3448-2017,Hoja 2,sup,43333.0,1687.0,0.211,25.69,24.36,1,0.835,0.30165228,91.524826,0.35983366,41.20079,-21.98253,32.058624,-15.688459,35.322258,0.977632297,0.977086743,0.055803571,684,18.873,18.366,19.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 2,sup,43333.0,1687.0,0.211,25.69,24.36,1,0.835,0.30919805,93.58263,0.22626859,39.064373,-16.41273,23.235294,-11.094111,26.743849,0.977414075,0.969230769,0.837240455,666,20.907,20.289,22.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 1,sup,44408.0,1732.0,0.22,25.64,26.65,1,0.835,0.30165228,91.524826,0.35983366,41.20079,-21.98253,32.058624,-15.688459,35.322258,0.977632297,0.977086743,0.055803571,684,18.873,18.366,19.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 1,sup,44408.0,1732.0,0.22,25.64,26.65,1,0.835,0.30919805,93.58263,0.22626859,39.064373,-16.41273,23.235294,-11.094111,26.743849,0.977414075,0.969230769,0.837240455,666,20.907,20.289,22.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 2,sup,50815.0,1732.0,0.188,29.34,26.68,1,0.835,0.30165228,91.524826,0.35983366,41.20079,-21.98253,32.058624,-15.688459,35.322258,0.977632297,0.977086743,0.055803571,684,18.873,18.366,19.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 2,sup,50815.0,1732.0,0.188,29.34,26.68,1,0.835,0.30919805,93.58263,0.22626859,39.064373,-16.41273,23.235294,-11.094111,26.743849,0.977414075,0.969230769,0.837240455,666,20.907,20.289,22.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEULE-INIA,Hoja 1,sup,39652.0,1536.0,0.244,25.81,24.59,1,0.8,0.27675977,91.44793,0.31820512,36.901543,-18.62291,27.2243,-12.589902,29.601624,0.977692308,0.969120879,0.876700011,684,19.341,18.789,20.426,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 1,sup,39652.0,1536.0,0.244,25.81,24.59,1,0.8,0.43503213,100.92317,0.13194698,51.61358,-16.855066,21.555378,-12.705307,28.014698,0.957313109,0.957204767,0.011317338,661,23.005,21.094,26.527,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 2,sup,43074.0,1704.0,0.201,25.28,24.63,1,0.8,0.27675977,91.44793,0.31820512,36.901543,-18.62291,27.2243,-12.589902,29.601624,0.977692308,0.969120879,0.876700011,684,19.341,18.789,20.426,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 2,sup,43074.0,1704.0,0.201,25.28,24.63,1,0.8,0.43503213,100.92317,0.13194698,51.61358,-16.855066,21.555378,-12.705307,28.014698,0.957313109,0.957204767,0.011317338,661,23.005,21.094,26.527,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 1,sup,35342.0,1794.0,0.284,19.7,26.84,1,0.8,0.27675977,91.44793,0.31820512,36.901543,-18.62291,27.2243,-12.589902,29.601624,0.977692308,0.969120879,0.876700011,684,19.341,18.789,20.426,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 1,sup,35342.0,1794.0,0.284,19.7,26.84,1,0.8,0.43503213,100.92317,0.13194698,51.61358,-16.855066,21.555378,-12.705307,28.014698,0.957313109,0.957204767,0.011317338,661,23.005,21.094,26.527,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 2,sup,40310.0,1601.0,0.22,25.19,26.91,1,0.8,0.27675977,91.44793,0.31820512,36.901543,-18.62291,27.2243,-12.589902,29.601624,0.977692308,0.969120879,0.876700011,684,19.341,18.789,20.426,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUEULE-INIA,Hoja 2,sup,40310.0,1601.0,0.22,25.19,26.91,1,0.8,0.43503213,100.92317,0.13194698,51.61358,-16.855066,21.555378,-12.705307,28.014698,0.957313109,0.957204767,0.011317338,661,23.005,21.094,26.527,0.0,33.9528825,996.109465,27.7875,0.008825,-0.000675,3584.4525,1822.25,2917.75,0.498,118.78925,167.30712499999998,13244.5,26.145,-1.6424999999999998,-1.6424999999999998,0.2125,107.3775,1418.978,4.1645,0.000875,0.189,0.16949999999999998,0.6415,2.0865,0.3635,0.22825,0.40825,0.2285,57.7595,0.006125,0.15240447499999998,-0.025750000000000002,-1.0047176974384092e+16,-3595621859409684.0
QUC 3328-2019,Hoja 1,sup,47848.0,1566.0,0.192,30.55,24.68,1,0.8049999999999999,0.22376876,84.67884,0.4082675,30.619095,-15.862582,26.827246,-9.161373,26.372639,0.977632297,0.8700491,11.00446429,693,19.353,19.092,19.954,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 1,sup,47848.0,1566.0,0.192,30.55,24.68,1,0.8049999999999999,0.3267014,98.49155,0.16594219,40.026726,-15.145868,19.900398,-10.625176,23.829554,0.973022752,0.968472373,0.467653936,648,22.568,21.683,24.511,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 2,sup,44128.0,1570.0,0.241,28.11,24.72,1,0.8049999999999999,0.22376876,84.67884,0.4082675,30.619095,-15.862582,26.827246,-9.161373,26.372639,0.977632297,0.8700491,11.00446429,693,19.353,19.092,19.954,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 2,sup,44128.0,1570.0,0.241,28.11,24.72,1,0.8049999999999999,0.3267014,98.49155,0.16594219,40.026726,-15.145868,19.900398,-10.625176,23.829554,0.973022752,0.968472373,0.467653936,648,22.568,21.683,24.511,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 1,sup,48465.0,1644.0,0.191,29.48,26.02,1,0.8049999999999999,0.22376876,84.67884,0.4082675,30.619095,-15.862582,26.827246,-9.161373,26.372639,0.977632297,0.8700491,11.00446429,693,19.353,19.092,19.954,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 1,sup,48465.0,1644.0,0.191,29.48,26.02,1,0.8049999999999999,0.3267014,98.49155,0.16594219,40.026726,-15.145868,19.900398,-10.625176,23.829554,0.973022752,0.968472373,0.467653936,648,22.568,21.683,24.511,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 2,sup,50160.0,1762.0,0.256,28.46,26.08,1,0.8049999999999999,0.22376876,84.67884,0.4082675,30.619095,-15.862582,26.827246,-9.161373,26.372639,0.977632297,0.8700491,11.00446429,693,19.353,19.092,19.954,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
QUC 3328-2019,Hoja 2,sup,50160.0,1762.0,0.256,28.46,26.08,1,0.8049999999999999,0.3267014,98.49155,0.16594219,40.026726,-15.145868,19.900398,-10.625176,23.829554,0.973022752,0.968472373,0.467653936,648,22.568,21.683,24.511,2.0,30.659425,996.16278,28.105,0.010849999999999999,-0.0021874999999999998,4477.9175000000005,1959.0,3539.0025,0.5700000000000001,106.71075,152.141125,19086.75,26.385,-1.72,-1.72,0.1625,97.095,1171.751,2.76075,0.0010249999999999999,0.2115,0.2185,0.56975,2.30025,449.044,-0.19749999999999998,0.4545,0.20725,65.7685,0.008,0.12597255,-0.22949999999999998,-913363733517925.0,-3595615151076351.5
