Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
301;QUC 3545-2020;R-013_Plot-301;0.45407537;34.14984;0.25918263;51.502254;2.855774;27.646505;17.908102;29.971655;1.89E-04;0;100
302;QUC 3223-2020;R-013_Plot-302;0.50395656;36.651936;0.2288875;56.623642;0.8153959;27.691063;15.329325;31.512224;0.010935143;0.009049774;17.24137931
303;QUC 3533-2022;R-013_Plot-303;0.44020677;60.445904;0.13663363;49.844994;-6.5925965;18.977123;0.32085985;23.19752;0.031185808;0.022782446;26.94610778
304;QUC 35783-2020;R-013_Plot-304;0.5350018;37.377426;0.25943762;60.38169;1.2271786;31.94549;18.119091;36.18847;3.73E-04;0;100
305;QUC 3532-2022;R-013_Plot-305;0.40556684;52.022762;0.23532516;47.357006;-5.3735023;25.186832;4.4305716;28.495792;0.041435442;0;100
306;QUC 3532-2018  ;R-013_Plot-306;0.38266465;57.344124;0.22008425;44.88016;-6.609572;23.29881;1.8483716;26.470495;0.367554569;0.003699593;98.99345747
307;QUC 3309-2020;R-013_Plot-307;0.35694733;58.38878;0.21173686;41.891235;-6.4123726;21.516184;1.3172698;24.159306;0.390874107;0.041781198;89.31082982
308;QUC 3208-2020;R-013_Plot-308;0.46310374;50.441017;0.32622886;55.158237;-5.54686;35.560234;8.572284;39.48804;0.082462892;0;100
309;QUC 4533-2021;R-013_Plot-309;0.36474577;59.160572;0.26259416;43.656197;-7.4647207;25.67693;1.4602722;28.429628;0.409222948;1.82E-04;99.95563443
310;QUC 3519-2022;R-013_Plot-310;0.39569947;64.89088;0.20604664;46.51113;-8.53435;23.338558;-0.7296494;27.226627;0.829883805;0.011982571;98.55611464
311;QUC 3595-2020;R-013_Plot-311;0.42779994;93.34888;0.08552021;48.662945;-10.330061;15.601692;-6.25969;20.175934;0.14570966;0.045331894;68.88888889
312;QUC 3772-2021;R-013_Plot-312;0.4127011;53.897865;0.21051049;47.863224;-5.8630295;23.706911;3.1993465;27.343237;0.236733225;0;100
313;QUC 3632-2021;R-013_Plot-313;0.43933797;41.71521;0.28687972;51.02143;-0.91710293;29.966427;13.064547;32.68832;5.40E-04;0;100
314;QUC 3526-2022;R-013_Plot-314;0.39816856;63.485218;0.23574787;47.265896;-8.832589;25.75014;-0.2286191;29.650055;0.758110517;7.13E-04;99.90594874
315;QUC 3117-2020;R-013_Plot-315;0.49488103;46.8895;0.20439452;56.153976;-4.1433663;26.167751;7.164885;30.97964;0.060766649;0.050874404;16.27906977
316;QUC 4470-2021;R-013_Plot-316;0.50611377;64.42504;0.18354964;58.066933;-9.552439;26.091915;-0.721745;32.33884;0.088235294;0.044117647;50
317;QUC 3407-2020;R-013_Plot-317;0.48983052;48.28652;0.30473357;57.492294;-4.5768967;35.043827;10.081315;39.495075;0.054054054;0;100
318;QUC 4598-2021;R-013_Plot-318;0.47226548;51.498722;0.31190914;56.025654;-6.163921;35.03398;7.545602;39.423553;0.034838936;0;100
319;QUC 3655-2020;R-013_Plot-319;0.49461174;61.29122;0.179394;56.56338;-8.3993435;24.97924;0.4476885;30.731497;0.167621031;0.083463474;50.20703934
320;QUC 3623-2020;R-013_Plot-320;0.4469441;47.989292;0.28069216;52.35223;-4.1903477;30.572456;8.544448;34.225395;0.032448378;0.011625889;64.17112299
321;QUC 3454-2020  ;R-013_Plot-321;0.5201532;42.72405;0.3151613;60.32722;-1.2144995;36.986244;16.28063;41.184715;6.94E-04;0;100
322;QUC 3610-2020;R-013_Plot-322;0.41977406;54.899967;0.27108198;49.75331;-6.8441863;29.008495;3.8958783;32.74509;0.206398349;3.44E-04;99.83333333
323;QUC 3310-2020;R-013_Plot-323;0.3776851;71.55344;0.21003455;44.969994;-10.204269;23.31969;-3.058918;27.183767;0.776811594;0.047911338;93.83230904
324;QUC 3657-2020;R-013_Plot-324;0.4326303;83.78635;0.15167588;50.58737;-12.549856;21.67095;-6.8217034;27.163124;0.234100597;0.062574595;73.27021122
325;QUC 3313-2020;R-013_Plot-325;0.38634214;60.62147;0.22109032;45.495113;-7.542319;23.77753;0.7643593;27.218788;0.583103448;0.002413793;99.58604376
326;QUC 3592-2020;R-014_Plot-326;0.38653663;50.222378;0.26087785;45.49931;-4.6596274;25.997097;5.614139;28.632124;0.017586207;0;100
327;QUC 3662-2020;R-014_Plot-327;0.40910956;49.95571;0.2114197;47.234146;-4.6134853;23.303514;4.7762094;26.595459;0.040920716;0.017220801;57.91666667
328;QUC 3633-2020;R-014_Plot-328;0.425643;72.472855;0.14252543;48.923912;-9.02332;19.683748;-2.7791994;24.228472;0.209207161;0.091730605;56.15321923
329;QUC 4628-2021;R-014_Plot-329;0.4192985;51.28544;0.2743252;49.465595;-5.404698;28.891504;5.9082894;32.28283;0.116787066;1.72E-04;99.85272459
