Parc.;Variedad; ;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
529;QUC 3598-2020;529;680;37.6949;1.0807;35.1606;41.6336;100;-3.40E+38;3.40E+38
530;QUC 3534-2020;530;670;33.155;0.5803;32.106;34.6682;100;-3.40E+38;3.40E+38
531;QUC 3526-2017  ;531;660;32.4507;0.4234;31.749;34.0914;100;-3.40E+38;3.40E+38
532;QUC 3622-2021;532;670;34.5313;0.9761;32.549;37.9587;100;-3.40E+38;3.40E+38
533;QUC 3631-2020;533;680;37.0932;1.4936;34.146;43.7528;100;-3.40E+38;3.40E+38
534;QUC 4597-2021;534;680;36.8408;1.2527;34.2596;41.5971;100;-3.40E+38;3.40E+38
535;QUC 4454-2021;535;680;37.7954;0.9953;35.8061;41.6921;100;-3.40E+38;3.40E+38
536;QUC 3409-2020;536;680;35.513;1.0891;33.8333;39.0718;100;-3.40E+38;3.40E+38
537;QUC 3562-2020;537;680;35.4694;0.8254;34.2381;38.8935;100;-3.40E+38;3.40E+38
538;QUC 3517-2022;538;670;34.5674;0.6454;33.3709;38.1069;100;-3.40E+38;3.40E+38
539;QUC 3524-2022;539;660;35.1175;1.0347;33.9995;42.8748;100;-3.40E+38;3.40E+38
540;QUC 3412-2020;540;655;37.9085;1.4369;35.318;44.4901;100;-3.40E+38;3.40E+38
541;QUC 3605-2020;541;660;38.2701;1.1763;35.9261;41.2453;100;-3.40E+38;3.40E+38
542;QUC 3628-2020;542;660;39.507;1.0429;37.0938;44.8692;100;-3.40E+38;3.40E+38
543;QUC 3408-2020;543;660;38.084;0.9759;36.0119;43.2424;100;-3.40E+38;3.40E+38
544;QUC 3561-2020;544;670;37.0069;0.9866;35.6814;43.8827;100;-3.40E+38;3.40E+38
545;QUC 3534-2022;545;680;34.6625;0.9355;33.3393;39.8275;100;-3.40E+38;3.40E+38
546;QUC 3507-2020;546;670;38.5427;1.0771;36.4756;42.4295;100;-3.40E+38;3.40E+38
547;QUC 3517-2017  ;547;660;36.5115;1.3894;34.8301;44.3506;100;-3.40E+38;3.40E+38
548;QUC 3604-2020;548;660;39.4723;1.2201;37.6514;45.6016;100;-3.40E+38;3.40E+38
549;QUC 3621-2020;549;657;39.2594;1.3777;37.0169;45.6012;100;-3.40E+38;3.40E+38
550;QUC 3679-2016  ;550;660;36.572;0.7683;35.1495;38.9297;100;-3.40E+38;3.40E+38
551;QUC 3602-2020;551;660;39.0432;1.3456;36.8872;44.6603;100;-3.40E+38;3.40E+38
552;QUC 3586-2016;552;660;36.5616;1.1899;34.3655;41.3804;100;-3.40E+38;3.40E+38
553;QUC 3531-2018;553;660;36.0684;1.0753;34.3014;38.8813;100;-3.40E+38;3.40E+38
554;QUC 3597-2020;554;660;37.6548;1.0219;35.457;41.0854;100;-3.40E+38;3.40E+38
555;QUC 3404-2020;555;669;40.5238;1.425;38.0068;45.5741;100;-3.40E+38;3.40E+38
556;QUC 3317-2019;556;680;35.8957;0.8183;34.3475;39.1574;100;-3.40E+38;3.40E+38
557;QUC 4480-2021;557;670;37.1878;1.4695;35.0983;42.489;100;-3.40E+38;3.40E+38
558;QUC 3584-2018;558;660;37.332;1.3367;35.0937;43.5025;100;-3.40E+38;3.40E+38
559;QUC 4423-2021;559;556;42.1282;1.6445;39.0185;45.7114;100;-3.40E+38;3.40E+38
560;QUC 4544-2021;560;648;39.2311;1.8797;35.6753;45.6149;100;-3.40E+38;3.40E+38
561;QUC 3629-2020;561;660;37.1756;1.7453;33.9815;45.0388;100;-3.40E+38;3.40E+38
562;QUC 3556-2018;562;660;34.9431;0.9529;33.4632;39.0447;100;-3.40E+38;3.40E+38
563;QUC 3489-2018  ;563;670;34.092;0.6843;32.9786;36.5819;100;-3.40E+38;3.40E+38
564;QUC 3601-2020;564;680;37.1869;1.9118;34.5625;43.5612;100;-3.40E+38;3.40E+38
565;QUC 3207-2020;565;670;38.098;2.1992;34.6357;45.6495;100;-3.40E+38;3.40E+38
566;QUC 4553-2021;566;675;35.5501;1.3;33.4613;43.5301;100;-3.40E+38;3.40E+38
567;QUC 3410-2020;567;680;35.1433;1.3842;32.9375;39.968;100;-3.40E+38;3.40E+38
568;QUC 3594-2020;568;680;35.3511;1.0473;33.9212;40.1221;100;-3.40E+38;3.40E+38
569;QUC 3413-2020;569;670;33.2576;0.6939;32.0968;36.0285;100;-3.40E+38;3.40E+38
570;QUC 3401-2018;570;660;33.3354;1.0344;32.2694;37.1563;100;-3.40E+38;3.40E+38
571;QUC 3218-2020;571;670;34.2611;0.9677;32.64;39.5047;100;-3.40E+38;3.40E+38
572;QUC 3328-2019;572;680;34.3115;0.8806;33.2025;38.2646;100;-3.40E+38;3.40E+38
573;QUC 3543-2020;573;680;34.1992;0.7609;32.9276;36.8663;100;-3.40E+38;3.40E+38
574;QUC 3643-2020;574;680;35.2179;1.1756;33.3908;40.6618;100;-3.40E+38;3.40E+38
575;QUC 3518-2022;575;680;34.308;0.7091;32.9685;37.1936;100;-3.40E+38;3.40E+38
576;QUC 3663-2020;576;680;35.6686;0.9911;33.8246;39.2152;100;-3.40E+38;3.40E+38
577;QUC 3613-2017;577;680;33.2725;0.3499;32.4076;34.4629;100;-3.40E+38;3.40E+38
578;QUC 3305-2019;578;680;35.7839;1.1087;34.0147;39.4812;100;-3.40E+38;3.40E+38
